id,sem1_book_every_mon1,sem1_book_every_mon9,sem1_book_every_mon10,sem1_book_every_mon11,sem1_book_every_mon12,sem1_book_every_type1,sem1_book_every_type2,sem1_book_every_type3,sem1_book_every_type4,sem1_book_every_type5,sem1_book_every_type6,sem1_book_every_type7,sem1_book_every_type8,sem1_book_every_type9,sem1_book_every_type10,sem1_book_every_type11,sem1_book_every_type12,sem1_book_every_type13,sem1_book_every_type14,sem1_book_every_type15,sem1_book_every_type16,sem1_book_every_type17,sem1_book_every_type18,sem1_book_every_type19,sem1_book_every_type20,sem1_book_every_type21,sem1_book_every_type22,sem1_book_every_type23,sem1_book_every_type24,sem1_book_every_type25,sem1_book_every_type26,sem1_book_every_type27,sem1_book_every_type28,sem1_book_every_type29,sem1_book_every_type30,sem1_book_every_type31,sem1_book_every_type32,sem1_book_every_type33,sem1_book_every_type34,sem1_book_every_type35,sem1_book_every_type36,sem1_book_every_type37,sem1_book_every_type38,sem1_book_every_type39,sem1_book_every_type40,sem1_book_every_type41,sem1_book_every_type42,sem1_library_every_mon1,sem1_library_every_mon9,sem1_library_every_mon10,sem1_library_every_mon11,sem1_library_every_mon12,sem1_library_every_hour7,sem1_library_every_hour8,sem1_library_every_hour9,sem1_library_every_hour10,sem1_library_every_hour11,sem1_library_every_hour12,sem1_library_every_hour13,sem1_library_every_hour14,sem1_library_every_hour15,sem1_library_every_hour16,sem1_library_every_hour17,sem1_library_every_hour18,sem1_library_every_hour19,sem1_library_every_hour20,sem1_library_every_hour21,sem1_library_every_hour22,sem1_consume_every_pos_shitang,sem1_consume_every_pos_jiaotong,sem1_consume_every_pos_chaoshi,sem1_consume_every_pos_sushe,sem1_consume_every_pos_jiaoshi,sem1_consume_every_pos_tushuguan,sem1_consume_every_pos_dayin,sem1_consume_every_mon1,sem1_consume_every_mon9,sem1_consume_every_mon10,sem1_consume_every_mon11,sem1_consume_every_mon12,sem1_consume_every_hour0,sem1_consume_every_hour1,sem1_consume_every_hour2,sem1_consume_every_hour3,sem1_consume_every_hour4,sem1_consume_every_hour5,sem1_consume_every_hour6,sem1_consume_every_hour7,sem1_consume_every_hour8,sem1_consume_every_hour9,sem1_consume_every_hour10,sem1_consume_every_hour11,sem1_consume_every_hour12,sem1_consume_every_hour13,sem1_consume_every_hour14,sem1_consume_every_hour15,sem1_consume_every_hour16,sem1_consume_every_hour17,sem1_consume_every_hour18,sem1_consume_every_hour19,sem1_consume_every_hour20,sem1_consume_every_hour21,sem1_consume_every_hour22,sem1_consume_every_hour23,sem2_book_every_mon2,sem2_book_every_mon3,sem2_book_every_mon4,sem2_book_every_mon5,sem2_book_every_mon6,sem2_book_every_mon7,sem2_book_every_type1,sem2_book_every_type2,sem2_book_every_type3,sem2_book_every_type4,sem2_book_every_type5,sem2_book_every_type6,sem2_book_every_type7,sem2_book_every_type8,sem2_book_every_type9,sem2_book_every_type10,sem2_book_every_type11,sem2_book_every_type12,sem2_book_every_type13,sem2_book_every_type14,sem2_book_every_type15,sem2_book_every_type16,sem2_book_every_type17,sem2_book_every_type18,sem2_book_every_type19,sem2_book_every_type20,sem2_book_every_type21,sem2_book_every_type22,sem2_book_every_type23,sem2_book_every_type24,sem2_book_every_type25,sem2_book_every_type26,sem2_book_every_type27,sem2_book_every_type28,sem2_book_every_type29,sem2_book_every_type30,sem2_book_every_type31,sem2_book_every_type32,sem2_book_every_type33,sem2_book_every_type34,sem2_book_every_type35,sem2_book_every_type36,sem2_book_every_type37,sem2_book_every_type38,sem2_book_every_type39,sem2_book_every_type40,sem2_book_every_type41,sem2_book_every_type42,sem2_library_every_mon2,sem2_library_every_mon3,sem2_library_every_mon4,sem2_library_every_mon5,sem2_library_every_mon6,sem2_library_every_mon7,sem2_library_every_hour7,sem2_library_every_hour8,sem2_library_every_hour9,sem2_library_every_hour10,sem2_library_every_hour11,sem2_library_every_hour12,sem2_library_every_hour13,sem2_library_every_hour14,sem2_library_every_hour15,sem2_library_every_hour16,sem2_library_every_hour17,sem2_library_every_hour18,sem2_library_every_hour19,sem2_library_every_hour20,sem2_library_every_hour21,sem2_library_every_hour22,sem2_consume_every_pos_shitang,sem2_consume_every_pos_jiaotong,sem2_consume_every_pos_chaoshi,sem2_consume_every_pos_sushe,sem2_consume_every_pos_jiaoshi,sem2_consume_every_pos_tushuguan,sem2_consume_every_pos_dayin,sem2_consume_every_mon2,sem2_consume_every_mon3,sem2_consume_every_mon4,sem2_consume_every_mon5,sem2_consume_every_mon6,sem2_consume_every_mon7,sem2_consume_every_hour0,sem2_consume_every_hour1,sem2_consume_every_hour2,sem2_consume_every_hour3,sem2_consume_every_hour4,sem2_consume_every_hour5,sem2_consume_every_hour6,sem2_consume_every_hour7,sem2_consume_every_hour8,sem2_consume_every_hour9,sem2_consume_every_hour10,sem2_consume_every_hour11,sem2_consume_every_hour12,sem2_consume_every_hour13,sem2_consume_every_hour14,sem2_consume_every_hour15,sem2_consume_every_hour16,sem2_consume_every_hour17,sem2_consume_every_hour18,sem2_consume_every_hour19,sem2_consume_every_hour20,sem2_consume_every_hour21,sem2_consume_every_hour22,sem2_consume_every_hour23,sem3_book_every_mon1,sem3_book_every_mon9,sem3_book_every_mon10,sem3_book_every_mon11,sem3_book_every_mon12,sem3_book_every_type1,sem3_book_every_type2,sem3_book_every_type3,sem3_book_every_type4,sem3_book_every_type5,sem3_book_every_type6,sem3_book_every_type7,sem3_book_every_type8,sem3_book_every_type9,sem3_book_every_type10,sem3_book_every_type11,sem3_book_every_type12,sem3_book_every_type13,sem3_book_every_type14,sem3_book_every_type15,sem3_book_every_type16,sem3_book_every_type17,sem3_book_every_type18,sem3_book_every_type19,sem3_book_every_type20,sem3_book_every_type21,sem3_book_every_type22,sem3_book_every_type23,sem3_book_every_type24,sem3_book_every_type25,sem3_book_every_type26,sem3_book_every_type27,sem3_book_every_type28,sem3_book_every_type29,sem3_book_every_type30,sem3_book_every_type31,sem3_book_every_type32,sem3_book_every_type33,sem3_book_every_type34,sem3_book_every_type35,sem3_book_every_type36,sem3_book_every_type37,sem3_book_every_type38,sem3_book_every_type39,sem3_book_every_type40,sem3_book_every_type41,sem3_book_every_type42,sem3_library_every_mon1,sem3_library_every_mon9,sem3_library_every_mon10,sem3_library_every_mon11,sem3_library_every_mon12,sem3_library_every_hour7,sem3_library_every_hour8,sem3_library_every_hour9,sem3_library_every_hour10,sem3_library_every_hour11,sem3_library_every_hour12,sem3_library_every_hour13,sem3_library_every_hour14,sem3_library_every_hour15,sem3_library_every_hour16,sem3_library_every_hour17,sem3_library_every_hour18,sem3_library_every_hour19,sem3_library_every_hour20,sem3_library_every_hour21,sem3_library_every_hour22,sem3_consume_every_pos_shitang,sem3_consume_every_pos_jiaotong,sem3_consume_every_pos_chaoshi,sem3_consume_every_pos_sushe,sem3_consume_every_pos_jiaoshi,sem3_consume_every_pos_tushuguan,sem3_consume_every_pos_dayin,sem3_consume_every_mon1,sem3_consume_every_mon9,sem3_consume_every_mon10,sem3_consume_every_mon11,sem3_consume_every_mon12,sem3_consume_every_hour0,sem3_consume_every_hour1,sem3_consume_every_hour2,sem3_consume_every_hour3,sem3_consume_every_hour4,sem3_consume_every_hour5,sem3_consume_every_hour6,sem3_consume_every_hour7,sem3_consume_every_hour8,sem3_consume_every_hour9,sem3_consume_every_hour10,sem3_consume_every_hour11,sem3_consume_every_hour12,sem3_consume_every_hour13,sem3_consume_every_hour14,sem3_consume_every_hour15,sem3_consume_every_hour16,sem3_consume_every_hour17,sem3_consume_every_hour18,sem3_consume_every_hour19,sem3_consume_every_hour20,sem3_consume_every_hour21,sem3_consume_every_hour22,sem3_consume_every_hour23,sem1_rank,sem2_rank,sem3_rank
1,12,8,15,4,9,5,0,2,0,3,0,0,0,0,1,9,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,18,11,13,0,6,5,5,1,11,4,6,6,9,5,10,3,2,1,0,552.25,0,388.7,8.27,0.07,47.6,0,241.52,0,0,186.7,568.67,0,0,0,0,0,0,0.01,61.88,32.64,0.03,26,204.13,89.59,1.03,0.03,23.91,83,209.07,73.1,50.49,5.7,86.5,49.77,0.01,0,15,10,2,3,5,8,1,5,0,0,0,2,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,3,8,1,0,1,1,1,1,2,1,5,3,4,2,6,5,3,0,0,1665.62,0,417.15,14.05,0.81,2.5,0,122.53,456.42,383.09,428.35,453.24,256.5,0,0,0,0,0,0,0.11,147.64,50.07,18.66,18.13,666.62,207.55,20.85,7.08,1.71,57.49,607.39,98.62,22.7,57.15,86.28,28.76,3.32,0,6,0,2,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,1,0,0,0,0,0,0,1,4,1,0,1,4,2,0,0,0,1558.2,2,565.1,14.63,0.05,8.6,6.4,252.51,485.5,492.94,446.73,477.3,0,0,0,0,0,0,0,49.31,43.24,8.9,24.3,552.35,209.01,67.1,32.54,4,39.3,701.2,87.31,33.9,78.03,176.51,47.97,0.01,413,209,258
2,0,10,4,0,3,7,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,3,0,1,0,2,2,1,0,3,0,1,0,1,0,1,0,0,1322.64,4,330.8,75.93,0,14,0,182,343.46,355.09,415.55,451.27,0,0,0,0,0,0.16,192.53,85.85,49.01,11.24,41.1,486.35,77.42,4.83,26.61,16.72,38.01,437.97,100.78,45.3,0.04,100.77,32.68,0,0,0,2,0,0,6,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,12,12,9,2,7,0,0,1,1,2,1,0,0,4,15,7,1,0,0,1570.8,4,228.7,78.69,0.06,0,0,88.8,375.92,468.74,487.39,305.2,156.2,0,0,0,0,0,0,18.71,179.6,12.22,0,21.1,557,194,4.8,30.73,10.51,30,546.6,109.81,15,76.6,58.23,17.34,0,0,0,1,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,18,10,0,3,0,0,1,3,2,0,1,0,23,6,2,0,0,0,1351.18,6,302,73.62,0,3.2,2.1,218.6,434.72,401.48,350.3,333,0,0,0,0,0,0,5.76,49.1,7.51,15.6,17.1,435.6,117.1,9,16.1,52.5,44.45,764.28,37.7,82.5,25.2,48.6,10,0,512,469,488
3,7,4,0,8,5,11,6,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,6,19,2,10,3,1,3,5,3,0,2,3,6,10,4,0,0,0,52.83,0,17,2.45,0,14.2,0.45,0,0,0,0,86.93,0,0,0,0,0,0,0,6.03,6.71,0,0,12.15,15.6,0,7.4,0,8.9,13.1,0,0,0,0,17.02,0.02,1,3,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,3,3,1,0,0,0,3,1,2,1,0,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,13,12,15,0,12,0,1,5,4,2,6,5,2,8,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,386,364
4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,17,0,0,3,1,6,1,2,0,1,2,12,2,3,1,2,0,0,966.25,29,388.6,61.51,0,58.4,0,157.34,404.63,336.28,321.15,284.36,0,0,0,0,0,0,11.43,144.28,27.66,14.5,59.66,337.81,248.38,56.77,27,13.9,104,155.1,119.94,63.78,15.06,72.67,31.71,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1281,10,307.7,65.03,0.01,0,1.95,84.63,392.64,335.54,432.33,259.08,161.47,1.5,1.4,0,0,0,0,0,56.22,121.5,21.3,41.7,484.75,254.37,21.51,7.08,24.2,7.93,369.06,146.43,12.1,30.7,37.52,25.67,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025.08,18,362.3,47.06,0.02,0,23,174.8,370.62,285.57,412.24,232.23,4.6,1,0,0,0,0,2.4,18.9,20.53,20.01,9.7,284.36,304.03,48.9,56.36,8.86,13.8,330.52,217.38,15.01,17.8,32.6,62.3,6.4,241,226,352
5,6,10,5,5,12,28,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,8,6,11,4,5,2,13,4,1,3,4,3,6,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,3,4,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,11,25,13,6,5,2,1,3,9,6,3,2,2,5,6,6,4,3,0,49.1,0,26,2.32,0,0,0,0,0,0,77.42,0,0,0,0,0,0,0,0,0,3,4,0,0,0,17.71,9,8.3,0,0,0.7,0,24.5,9.5,0,0.7,0.01,0,9,0,2,2,7,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,10,14,37,1,22,16,7,0,7,3,9,9,5,2,14,9,5,4,0,228.76,1,3.5,5.4,0.06,36.66,0,0,0,0,186.92,88.46,2.3,0,0,0,0,0,3.3,24.9,1.82,10.13,2.5,65.11,62.8,7.6,7.96,6.3,9,12.26,35.3,16.5,3.5,1,0.7,2.4,128,191,133
6,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,233,266
7,0,4,3,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,10,0,7,0,1,0,2,0,1,2,5,1,10,3,1,0,0,1258.7,30,654.6,71.89,0.09,69.7,2.1,302.03,526.26,360.85,396.77,501.17,1.24,0.08,0,0,0,0,21.23,94.81,35.22,22.32,79.6,415.3,182.25,15.36,36.17,55.79,67.74,378.36,182.67,18.25,54.26,312.41,112.23,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,1728.21,5,490.69,88.52,0.01,15.2,0,71.28,461.66,581.11,616.03,419.93,177.62,4.59,0.61,0.01,0.02,0,0,0,42.95,125.4,20.08,46.16,588.54,277.4,20.1,49.1,3.21,35.76,603.69,167.78,15.7,32,134.1,144.71,15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1469.13,6,553.24,65.87,0,3.1,0.75,266.6,473.62,403.2,439.79,514.88,1.6,0,0,0,0,0,0,4.7,28.72,5.6,19.8,387.48,390.8,84.9,19.2,53.22,17.06,556.96,177.86,34.16,20.8,116.46,177.37,1.4,250,336,355
8,5,12,23,10,13,3,15,9,0,1,0,1,3,0,0,9,16,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,12,17,13,5,8,1,9,1,8,1,4,1,3,5,13,4,2,1,0,2012.79,16,610,65.13,0.7,6,17.4,316.14,587.9,637.22,576.51,610.25,0,0,0,0,0,0,121.78,100.66,86.75,17.28,102.71,810.36,273.89,8.24,5.09,10.03,116.05,680.35,147.69,32.84,5.68,146.32,61.7,0.6,0,10,5,10,9,1,5,5,3,0,0,2,0,4,0,0,6,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,13,12,9,1,5,1,1,0,6,4,2,2,1,9,15,8,0,0,0,1941.81,1,601.4,33.32,1.61,4.1,12.6,136.19,485.1,586.19,598.69,578.71,210.96,0.6,0,0,0,0,0,140.99,118.48,48.08,62.24,140.25,603.5,217.28,2.26,3.54,71.9,131.53,598.23,191.87,0.1,107.17,55.81,100.41,1.6,7,8,6,10,5,8,3,3,0,1,5,0,4,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,7,4,9,2,5,1,1,1,7,0,3,0,0,12,11,1,1,0,0,2231.44,0,506.6,54.99,2.03,12.4,15.45,362.45,591.4,616.85,673.34,578.87,0.6,0,0,0,0,0.01,35.73,203.45,71.68,15.12,59.06,615.73,458.52,2.24,66.95,18.93,95.72,737.03,119.34,14.61,31.14,212.04,59.91,5.1,52,103,74
9,0,5,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,2,1,2,1,3,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,5,0,0,1,1,1,0,1,1,1,0,0,0,5,10,0,0,0,2039.75,4,409.7,83.8,0,8.7,0,73.05,630.61,581.02,469.93,531.68,259.66,0.75,0,0,0.17,0,0,0.07,134.88,65.55,16.03,18.71,476.52,492.24,2.91,14.68,28.8,24.22,574.92,521.06,89.32,3.93,79.04,2.04,0.11,0,3,4,1,2,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,8,0,1,0,0,3,3,1,0,0,0,0,8,5,0,0,0,1854.15,0,436.5,74.59,0,22.4,4.8,252.41,488.52,505.64,592.68,553.19,0.07,1.42,0.04,0,0,0.01,0,16.75,99.35,15.2,20.43,595.33,426.56,21.75,21.53,2.1,55.82,381.73,377.04,185.91,19.23,78.16,69.85,4.16,398,264,409
10,0,2,13,0,6,3,0,0,0,0,6,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,5,7,20,9,14,3,3,0,1,3,4,11,5,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,17,15,0,7,3,0,1,0,2,8,4,1,5,3,2,1,1,0,104,0,10.8,14.99,0.1,16.2,0,0,0,0,45.18,0,100.91,0,0,0,0,0,0,0,7.14,11.43,1.62,0.01,49.3,24.55,0,12,16.3,0,8.9,0.09,0,8,5.4,0.5,0.85,5,13,5,0,9,5,3,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,5,0,3,0,9,3,1,0,3,1,5,3,2,6,6,0,0,0,0,170,0,53.6,23.67,0.12,19.6,7.95,221.01,0,0,0,53.93,0.1,0,0,0,0,0,0.02,20.42,13.35,4.98,3.77,91.9,7.71,5.83,37.7,3.03,11.16,19.22,33.56,0,3.9,14.3,2.95,1.04,483,456,339
